name,lat,lon
Parc Pratt (Dunlop / Van Horne),45.514918954061876,-73.61968517303467
Parc Joyce (Rockland / Lajoie),45.515617,-73.614991
de la Cote-Ste-Catherine / Davaar,45.51416245548193,-73.61105918884276
Hudson / Goyer,45.507437367855864,-73.63265757772751
Parc Jarry (Gary-Carter),45.53387652694219,-73.62379329340911
St-Dominique / Jean-Talon,45.53520398241678,-73.6175217570053
des Érables / Laurier,45.538514913607656,-73.57769921422005
du Souvenir / de Bois-de-Boulogne,45.57029810554976,-73.70220910760054
de l'Hôtel-de-Ville / Sherbrooke,45.514524730294404,-73.56835573911665
Campus MIL (Outremont / Thérèse-Lavoie Roux),45.522875199531676,-73.61794576048851
Prince-Arthur / St-Urbain,45.512522576774245,-73.57380688201374
Parc Jean-Drapeau,45.511311218842756,-73.53358251079044
Casino de Montréal,45.5063732,-73.52457672
Métro Parc (Hutchison / Ogilvy),45.53035130173597,-73.6243924498558
La Ronde,45.52156536710626,-73.53533238172531
Wilson / Sherbrooke,45.4703791154553,-73.61663818359374
Letourneux / Hochelaga,45.55465888075087,-73.54660302400589
Cartier / Rosemont,45.541298966767236,-73.59117996005807
Notre-Dame-de-Grâce / Décarie,45.477332647079656,-73.61529976129532
Métro Côte-Ste-Catherine (Beaucourt / de la Côte-Ste-Catherine),45.491513,-73.633649
REM McGill (de Maisonneuve / Mansfield),45.50229349416256,-73.5733064264059
Métro Snowdon (de Westbury / Queen-Mary),45.485331256444724,-73.62817168235779
Chambord / Fleury,45.55984990093003,-73.65844255797128
Métro Crémazie (Crémazie / Lajeunesse),45.54640752148169,-73.63842844963074
Milton / Hutchison,45.50872157253173,-73.57433224849046
Ste-Catherine / Union,45.50370387789841,-73.56941521167755
Parc St-Henri (Laporte / Guay),45.4801160762769,-73.58560770750046
Métro de l'Église (Ross / de l'Église),45.4628312022419,-73.56593772768973
St-Dominique / Duluth,45.51742143528529,-73.5788244009018
Métro Lasalle (de Rushbrooke / Caisse),45.47072659825637,-73.56546904899005
Place du Commerce,45.46714,-73.54259
Clark / Prince-Arthur,45.513342512307055,-73.57301607728004
Berlioz / de l'Île des Soeurs,45.45998577640931,-73.54395568370819
St-Urbain / Laurier,45.521710833771046,-73.59374284744263
de Maisonneuve / Greene,45.48697062,-73.58929306
Hillside / Ste-Catherine,45.48284635977799,-73.5909104347229
Victoria / de Maisonneuve,45.47742856483265,-73.60016942024231
Victoria Hall (Sherbrooke),45.48129146961133,-73.6003303527832
